t,S_wR_kgR,S_wR_kgL,S_wR_ka,S_wR_Kf,S_wR_Kq,S_wL_kgR,S_wL_kgL,S_wL_ka,S_wL_Kf,S_wL_Kq
0.165,0.0050856561971524385,0.0,-0.00974014438740763,-0.06734742183291079,-0.0005164736871016094,0.0,-0.0050856561971524385,0.00974014438740763,0.06734742183291079,0.0005164736871016094
0.17,0.0052303887098683,0.0,-0.010313992034117012,-0.07080847254053753,-0.0005728994536247678,0.0,-0.0052303887098683,0.010313992034117012,0.07080847254053753,0.0005728994536247678
0.175,0.00537492195055403,0.0,-0.010902879184033012,-0.0743150859863586,-0.0006332574341761153,0.0,-0.00537492195055403,0.010902879184033012,0.0743150859863586,0.0006332574341761153
0.18,0.005519268791697813,0.0,-0.011506729543086175,-0.07786495954168726,-0.0006976613413854065,0.0,-0.005519268791697813,0.011506729543086175,0.07786495954168726,0.0006976613413854065
0.185,0.005663440565962286,0.0,-0.012125467954140894,-0.08145588290926428,-0.0007662221604808571,0.0,-0.005663440565962286,0.012125467954140894,0.08145588290926428,0.0007662221604808571
0.19,0.005807447162871217,0.0,-0.012759020159503223,-0.0850857348199566,-0.0008390481748723344,0.0,-0.005807447162871217,0.012759020159503223,0.0850857348199566,0.0008390481748723344
0.195,0.005951297123825343,0.0,-0.01340731259180514,-0.08875247977280716,-0.0009162449994124289,0.0,-0.005951297123825343,0.01340731259180514,0.08875247977280716,0.0009162449994124289
0.2,0.0060949977348271666,0.0,-0.014070272191151843,-0.09245416483342903,-0.0009979156200807958,0.0,-0.0060949977348271666,0.014070272191151843,0.09245416483342903,0.0009979156200807958
0.205,0.006238555116420694,0.0,-0.01474782624644503,-0.09618891650235414,-0.0010841604389816683,0.0,-0.006238555116420694,0.01474782624644503,0.09618891650235414,0.0010841604389816683
0.21,0.006381974310462541,0.0,-0.015439902258847579,-0.0999549376621038,-0.001175077323675028,0.0,-0.006381974310462541,0.015439902258847579,0.0999549376621038,0.001175077323675028
0.215,0.006525259363436733,0.0,-0.01614642782542718,-0.10375050460937404,-0.0012707616599794966,0.0,-0.006525259363436733,0.01614642782542718,0.10375050460937404,0.0012707616599794966
0.22,0.006668413406108119,0.0,-0.016867330541103634,-0.10757396417676414,-0.0013713064074906078,0.0,-0.006668413406108119,0.016867330541103634,0.10757396417676414,0.0013713064074906078
0.225,0.0068114387293799206,0.0,-0.01760253791712159,-0.11142373094685847,-0.0014768021571526443,0.0,-0.0068114387293799206,0.01760253791712159,0.11142373094685847,0.0014768021571526443
0.23,0.006954336856280695,0.0,-0.01835197731437434,-0.11529828456015573,-0.0015873371903067104,0.0,-0.006954336856280695,0.01835197731437434,0.11529828456015573,0.0015873371903067104
0.235,0.0070971086100561805,0.0,-0.01911557589001189,-0.11919616711727515,-0.0017029975387130264,0.0,-0.0070971086100561805,0.01911557589001189,0.11919616711727515,0.0017029975387130264
0.24,0.007239754178383126,0.0,-0.019893260555875075,-0.12311598067502016,-0.001823867045112491,0.0,-0.007239754178383126,0.019893260555875075,0.12311598067502016,0.001823867045112491
0.245,0.007382273173756364,0.0,-0.02068495794740564,-0.12705638483521028,-0.001950027423952114,0.0,-0.007382273173756364,0.02068495794740564,0.12705638483521028,0.001950027423952114
0.25,0.007524664690128038,0.0,-0.021490594401788028,-0.13101609442467302,-0.002081558321951822,0.0,-0.007524664690128038,0.021490594401788028,0.13101609442467302,0.002081558321951822
0.255,0.007666927355899817,0.0,-0.022310095944181124,-0.13499387726439196,-0.002218537378236957,0.0,-0.007666927355899817,0.022310095944181124,0.13499387726439196,0.002218537378236957
