# r_R = 0.03
# r_L = 0.03
# l = 0.08
# kg_R = 25.0
# kg_L = 25.0
# ka = 0.5
# kf = 0.15
# kq = 0.02
# alpha = 8.0
# beta = 8.0
time,x,y,theta,omega_R,omega_L,u_R,u_L
79.52,0.0,0.0,38.84906620525112,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.525,0.0,0.0,38.85156620525112,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.53,0.0,0.0,38.854066205251115,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.535,0.0,0.0,38.85656620525111,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.54,0.0,0.0,38.85906620525111,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.545,0.0,0.0,38.86156620525111,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.55,0.0,0.0,38.864066205251106,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.555,0.0,0.0,38.866566205251104,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.56,0.0,0.0,38.8690662052511,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.565,0.0,0.0,38.8715662052511,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.57000000000001,0.0,0.0,38.8740662052511,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.575,0.0,0.0,38.876566205251095,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.58,0.0,0.0,38.87906620525109,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.58500000000001,0.0,0.0,38.88156620525109,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.59,0.0,0.0,38.88406620525109,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.595,0.0,0.0,38.886566205251086,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.60000000000001,0.0,0.0,38.88906620525108,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.605,0.0,0.0,38.89156620525108,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.61,0.0,0.0,38.89406620525108,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.615,0.0,0.0,38.89656620525108,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.62,0.0,0.0,38.899066205251074,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.625,0.0,0.0,38.90156620525107,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.63,0.0,0.0,38.90406620525107,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.635,0.0,0.0,38.90656620525107,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.64,0.0,0.0,38.909066205251065,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.645,0.0,0.0,38.91156620525106,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.65,0.0,0.0,38.91406620525106,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.655,0.0,0.0,38.91656620525106,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.66,0.0,0.0,38.919066205251056,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.665,0.0,0.0,38.921566205251054,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.67,0.0,0.0,38.92406620525105,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.675,0.0,0.0,38.92656620525105,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.68,0.0,0.0,38.92906620525105,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.685,0.0,0.0,38.931566205251045,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.69,0.0,0.0,38.93406620525104,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.69500000000001,0.0,0.0,38.93656620525104,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.7,0.0,0.0,38.93906620525104,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.705,0.0,0.0,38.941566205251036,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.71000000000001,0.0,0.0,38.94406620525103,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.715,0.0,0.0,38.94656620525103,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.72,0.0,0.0,38.94906620525103,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.72500000000001,0.0,0.0,38.95156620525103,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.73,0.0,0.0,38.954066205251024,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.735,0.0,0.0,38.95656620525102,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.74,0.0,0.0,38.95906620525102,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.745,0.0,0.0,38.96156620525102,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.75,0.0,0.0,38.964066205251015,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.755,0.0,0.0,38.96656620525101,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.76,0.0,0.0,38.96906620525101,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.765,0.0,0.0,38.97156620525101,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.77,0.0,0.0,38.974066205251006,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.775,0.0,0.0,38.976566205251004,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.78,0.0,0.0,38.979066205251,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.785,0.0,0.0,38.981566205251,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.79,0.0,0.0,38.984066205251,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
79.795,0.0,0.0,38.986566205250995,1.3333333333332935,-1.3333333333332935,0.034088888880823696,-0.034088888880823696
